role,variant,K,threshold,n,strict_correct,reverse,model_tie,unavailable,strict_accuracy,eligible_bidirectional_pairs,both_directions_correct,preferred@1,queries,triggered_queries,triggered_fraction,judged_candidates,mean_judged,requested_candidates,mean_requested,missing_judge_candidates,fallback_queries,changed_queries
development,fusion_margin,20,0.04321843385696411,74,50,24,0,0,0.6756756756756757,37,16,0.4864864864864865,76,39,0.5131578947368421,780,10.263157894736842,780,10.263157894736842,0,0,37
development,fusion_margin,20,0.043594613671302795,74,50,24,0,0,0.6756756756756757,37,16,0.4864864864864865,76,40,0.5263157894736842,800,10.526315789473685,800,10.526315789473685,0,0,38
development,fusion_margin,20,0.04529660940170288,74,51,23,0,0,0.6891891891891891,37,17,0.5,76,41,0.5394736842105263,820,10.789473684210526,820,10.789473684210526,0,0,39
development,fusion_margin,20,0.05001220107078552,74,51,23,0,0,0.6891891891891891,37,17,0.5,76,42,0.5526315789473685,840,11.052631578947368,840,11.052631578947368,0,0,40
development,fusion_margin,20,0.0594291687011719,74,51,23,0,0,0.6891891891891891,37,17,0.5,76,43,0.5657894736842105,860,11.31578947368421,860,11.31578947368421,0,0,41
development,fusion_margin,20,0.06199577450752261,74,51,23,0,0,0.6891891891891891,37,17,0.5,76,43,0.5657894736842105,860,11.31578947368421,860,11.31578947368421,0,0,41
development,fusion_margin,20,0.06442946195602417,74,51,23,0,0,0.6891891891891891,37,17,0.5135135135135135,76,44,0.5789473684210527,880,11.578947368421053,880,11.578947368421053,0,0,42
development,fusion_margin,20,0.06733447313308716,74,52,22,0,0,0.7027027027027027,37,18,0.5135135135135135,76,45,0.5921052631578947,900,11.842105263157896,900,11.842105263157896,0,0,43
development,fusion_margin,20,0.07131505012512207,74,52,22,0,0,0.7027027027027027,37,18,0.5135135135135135,76,45,0.5921052631578947,900,11.842105263157896,900,11.842105263157896,0,0,43
development,fusion_margin,20,0.07254859805107117,74,52,22,0,0,0.7027027027027027,37,18,0.5135135135135135,76,46,0.6052631578947368,920,12.105263157894736,920,12.105263157894736,0,0,43
development,fusion_margin,20,0.07513454556465149,74,52,22,0,0,0.7027027027027027,37,18,0.5135135135135135,76,47,0.618421052631579,940,12.368421052631579,940,12.368421052631579,0,0,44
development,fusion_margin,20,0.07749013602733612,74,52,22,0,0,0.7027027027027027,37,18,0.5135135135135135,76,48,0.631578947368421,960,12.631578947368421,960,12.631578947368421,0,0,45
development,fusion_margin,20,0.07803261280059814,74,52,22,0,0,0.7027027027027027,37,18,0.5135135135135135,76,48,0.631578947368421,960,12.631578947368421,960,12.631578947368421,0,0,45
development,fusion_margin,20,0.07839153707027435,74,53,21,0,0,0.7162162162162162,37,19,0.527027027027027,76,49,0.6447368421052632,980,12.894736842105264,980,12.894736842105264,0,0,46
development,fusion_margin,20,0.08031263947486877,74,54,20,0,0,0.7297297297297297,37,20,0.5405405405405406,76,50,0.6578947368421053,1000,13.157894736842104,1000,13.157894736842104,0,0,47
development,fusion_margin,20,0.08235464990139008,74,55,19,0,0,0.7432432432432432,37,21,0.5405405405405406,76,51,0.6710526315789473,1020,13.421052631578947,1020,13.421052631578947,0,0,48
development,fusion_margin,20,0.08307629823684695,74,55,19,0,0,0.7432432432432432,37,21,0.5405405405405406,76,52,0.6842105263157895,1040,13.68421052631579,1040,13.68421052631579,0,0,49
development,fusion_margin,20,0.08581130206584933,74,55,19,0,0,0.7432432432432432,37,21,0.5405405405405406,76,52,0.6842105263157895,1040,13.68421052631579,1040,13.68421052631579,0,0,49
development,fusion_margin,20,0.08747881650924684,74,55,19,0,0,0.7432432432432432,37,21,0.5405405405405406,76,53,0.6973684210526315,1060,13.947368421052632,1060,13.947368421052632,0,0,50
development,fusion_margin,20,0.08847758173942566,74,55,19,0,0,0.7432432432432432,37,21,0.5540540540540541,76,54,0.7105263157894737,1080,14.210526315789474,1080,14.210526315789474,0,0,51
development,fusion_margin,20,0.08920633792877197,74,55,19,0,0,0.7432432432432432,37,21,0.5540540540540541,76,54,0.7105263157894737,1080,14.210526315789474,1080,14.210526315789474,0,0,51
development,fusion_margin,20,0.09384512901306152,74,55,19,0,0,0.7432432432432432,37,21,0.5540540540540541,76,55,0.7236842105263158,1100,14.473684210526315,1100,14.473684210526315,0,0,51
development,fusion_margin,20,0.09580010175704956,74,55,19,0,0,0.7432432432432432,37,21,0.5540540540540541,76,56,0.7368421052631579,1120,14.736842105263158,1120,14.736842105263158,0,0,52
development,fusion_margin,20,0.09661917388439178,74,56,18,0,0,0.7567567567567568,37,22,0.5675675675675675,76,57,0.75,1140,15.0,1140,15.0,0,0,53
development,fusion_margin,20,0.0978502631187439,74,56,18,0,0,0.7567567567567568,37,22,0.5675675675675675,76,57,0.75,1140,15.0,1140,15.0,0,0,53
development,fusion_margin,20,0.09958574175834656,74,56,18,0,0,0.7567567567567568,37,22,0.5675675675675675,76,58,0.7631578947368421,1160,15.263157894736842,1160,15.263157894736842,0,0,54
development,fusion_margin,20,0.1091349720954895,74,56,18,0,0,0.7567567567567568,37,22,0.5675675675675675,76,59,0.7763157894736842,1180,15.526315789473685,1180,15.526315789473685,0,0,55
development,fusion_margin,20,0.11915050446987152,74,56,18,0,0,0.7567567567567568,37,22,0.5675675675675675,76,60,0.7894736842105263,1200,15.789473684210526,1200,15.789473684210526,0,0,56
development,fusion_margin,20,0.1222848892211914,74,56,18,0,0,0.7567567567567568,37,22,0.5675675675675675,76,60,0.7894736842105263,1200,15.789473684210526,1200,15.789473684210526,0,0,56
development,fusion_margin,20,0.125033974647522,74,57,17,0,0,0.7702702702702703,37,23,0.5675675675675675,76,61,0.8026315789473685,1220,16.05263157894737,1220,16.05263157894737,0,0,57
development,fusion_margin,20,0.12737420201301577,74,58,16,0,0,0.7837837837837838,37,24,0.5675675675675675,76,62,0.8157894736842105,1240,16.31578947368421,1240,16.31578947368421,0,0,58
development,fusion_margin,20,0.1288507580757141,74,58,16,0,0,0.7837837837837838,37,24,0.5540540540540541,76,63,0.8289473684210527,1260,16.57894736842105,1260,16.57894736842105,0,0,59
development,fusion_margin,20,0.12900882959365845,74,58,16,0,0,0.7837837837837838,37,24,0.5540540540540541,76,63,0.8289473684210527,1260,16.57894736842105,1260,16.57894736842105,0,0,59
development,fusion_margin,20,0.13015632331371307,74,59,15,0,0,0.7972972972972973,37,25,0.5675675675675675,76,64,0.8421052631578947,1280,16.842105263157894,1280,16.842105263157894,0,0,60
development,fusion_margin,20,0.1315961480140686,74,59,15,0,0,0.7972972972972973,37,25,0.5675675675675675,76,65,0.8552631578947368,1300,17.105263157894736,1300,17.105263157894736,0,0,61
development,fusion_margin,20,0.1352853775024414,74,59,15,0,0,0.7972972972972973,37,25,0.5675675675675675,76,66,0.868421052631579,1320,17.36842105263158,1320,17.36842105263158,0,0,62
development,fusion_margin,20,0.14318108558654785,74,59,15,0,0,0.7972972972972973,37,25,0.5675675675675675,76,66,0.868421052631579,1320,17.36842105263158,1320,17.36842105263158,0,0,62
development,fusion_margin,20,0.16178497672080994,74,59,15,0,0,0.7972972972972973,37,25,0.5675675675675675,76,67,0.881578947368421,1340,17.63157894736842,1340,17.63157894736842,0,0,62
development,fusion_margin,20,0.17207756638526917,74,59,15,0,0,0.7972972972972973,37,25,0.5675675675675675,76,68,0.8947368421052632,1360,17.894736842105264,1360,17.894736842105264,0,0,63
development,fusion_margin,20,0.17629539966583252,74,59,15,0,0,0.7972972972972973,37,25,0.5675675675675675,76,69,0.9078947368421053,1380,18.157894736842106,1380,18.157894736842106,0,0,64
development,fusion_margin,20,0.17667502164840698,74,59,15,0,0,0.7972972972972973,37,25,0.5675675675675675,76,69,0.9078947368421053,1380,18.157894736842106,1380,18.157894736842106,0,0,64
development,fusion_margin,20,0.19029679894447327,74,60,14,0,0,0.8108108108108109,37,26,0.581081081081081,76,70,0.9210526315789473,1400,18.42105263157895,1400,18.42105263157895,0,0,65
development,fusion_margin,20,0.19859519600868225,74,61,13,0,0,0.8243243243243243,37,27,0.5945945945945946,76,71,0.9342105263157895,1420,18.68421052631579,1420,18.68421052631579,0,0,66
development,fusion_margin,20,0.20435720682144165,74,62,12,0,0,0.8378378378378378,37,28,0.6081081081081081,76,72,0.9473684210526315,1440,18.94736842105263,1440,18.94736842105263,0,0,67
development,fusion_margin,20,0.21036982536315918,74,62,12,0,0,0.8378378378378378,37,28,0.6081081081081081,76,72,0.9473684210526315,1440,18.94736842105263,1440,18.94736842105263,0,0,67
development,fusion_margin,20,0.24618911743164062,74,62,12,0,0,0.8378378378378378,37,28,0.6081081081081081,76,73,0.9605263157894737,1460,19.210526315789473,1460,19.210526315789473,0,0,68
development,fusion_margin,20,0.2692345976829529,74,62,12,0,0,0.8378378378378378,37,28,0.6216216216216216,76,74,0.9736842105263158,1480,19.473684210526315,1480,19.473684210526315,0,0,69
development,fusion_margin,20,0.2822944074869156,74,62,12,0,0,0.8378378378378378,37,28,0.6216216216216216,76,75,0.9868421052631579,1500,19.736842105263158,1500,19.736842105263158,0,0,70
development,fusion_margin,20,0.2881566882133484,74,62,12,0,0,0.8378378378378378,37,28,0.6216216216216216,76,75,0.9868421052631579,1500,19.736842105263158,1500,19.736842105263158,0,0,70
development,fusion_margin,20,0.28815668821334844,74,62,12,0,0,0.8378378378378378,37,28,0.6216216216216216,76,76,1.0,1520,20.0,1520,20.0,0,0,71
